id,Condition,Word,condition_printed,word_printed,word_printed2,Instruction1,word_printedTWO,Instruction2
1,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
2,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
3,1,3,NICHT an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
4,2,4,an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
5,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
6,2,4,an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
7,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
8,1,3,NICHT an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
9,2,4,an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
10,1,4,NICHT an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
